id,political,not_political,title,message,thumbnail,created_at,updated_at,lang,images,impressions,political_probability,targeting,suppressed,targets,advertiser,entities,page,lower_page,targetings,paid_for_by,targetedness,listbuilding_fundraising_proba,page_id
hyperfeed_story_id_5cb4f4393f4817e29633777,0,0,Planned Parenthood,<p>Say it loud say it proud: Our rights our health care Planned Parenthood health centers are here to stay.</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p50x50/54197803_2607293475953347_1517532277775532032_n.jpg,2019-04-15 21:14:45.857174+00,2019-04-15 21:14:45.857174+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t15.5256-10/56496449_2896358457171528_1135228416895746048_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/v/t15.5256-10/56496449_2896358457171528_1135228416895746048_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/y4/r/-PAXP-deijE.gifhttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/yU/r/u7XTTygYX3C.pnghttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/yU/r/u7XTTygYX3C.png},1,0.999989172364379,,f,[],,"[{""entity"": ""Planned Parenthood"" ""entity_type"": ""Organization""}]",https://www.facebook.com/PlannedParenthood/,https://www.facebook.com/plannedparenthood/,,Planned Parenthood Federation of America,,0.999978283041855,
hyperfeed_story_id_5cdd79e86c42f9851472504,0,0,International Rescue Committee,<p>Children are separated from their families at a rate 5 times higher than usually seen in emergencies.</p><p> We have workers on the ground right now providing critical aid to families. Donate now!</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p74x74/2501_10153888779753024_4453263147283902647_n.jpg,2019-05-16 14:55:49.791103+00,2019-05-16 14:55:49.791103+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t15.5256-10/49934628_1901262129995636_289453398154018816_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/v/t15.5256-10/49934628_1901262129995636_289453398154018816_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/y4/r/-PAXP-deijE.gifhttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/ya/r/6CA2cyI6vkb.pnghttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/ya/r/6CA2cyI6vkb.png},1,0.903121482294099,,f,[],,[],https://www.facebook.com/InternationalRescueCommittee/,https://www.facebook.com/internationalrescuecommittee/,,International Rescue Committee,,0.999938272580039,
hyperfeed_story_id_5cb1062b6f70e2936012317,0,0,Everytown for Gun Safety,<p>Your Congresswoman Elise Stefanik had a choice and she chose NOT to protect women by voting NO on the Violence Against Women Act. Add your name to let Rep. Stefanik know you’re outraged by her vote.</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p112x112/12376595_724452550988907_4748810345006844640_n.png,2019-04-12 21:42:17.738812+00,2019-04-12 21:42:17.738812+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/p180x540/57259443_6110129379530_7610638647867473920_n.png.jpg},1,0.999998187292641,,f,[],,"[{""entity"": ""Stefanik"" ""entity_type"": ""Person""} {""entity"": ""the Violence Against Women Act"" ""entity_type"": ""Organization""}]",https://www.facebook.com/Everytown/,https://www.facebook.com/everytown/,,Everytown for Gun Safety Action Fund,,0.405731258448213,
hyperfeed_story_id_5cb3b642713046585711023,2,1,Patients For Affordable Drugs NOW,<p>Oregon state legislators are considering bills that will help lower sky-high prescription drug prices by exposing Big Pharma's price hikes and allowing the importation of lower cost drugs. Tell them to vote YES on HB 2658 HB 2689 and SB 409 today!</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p200x200/26168637_143576166424677_4906241322293262123_n.png,2019-04-14 22:38:02.345108+00,2019-04-15 01:42:40.07593+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/c3.0.2042.1070a/s526x296/52950272_23843314277610095_112028101587763200_n.png.jpg},1,0.999916537894098,,f,[],,"[{""entity"": ""Oregon"" ""entity_type"": ""Region""} {""entity"": ""SB"" ""entity_type"": ""Organization""}]",https://www.facebook.com/PatientsForAffordableDrugsNOW/,https://www.facebook.com/patientsforaffordabledrugsnow/,,Patients for Affordable Drugs NOW,,0.634491473436356,
hyperfeed_story_id_5cb4f1e23e0fa4737683703,0,0,Cory Booker,<p>Our campaign finance system is broken and I want to fix it. We need to end Citizens United and get dark money out of politics.</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p200x200/50946065_10158596858482228_7275828887534174208_n.jpg,2019-04-15 21:04:48.427666+00,2019-04-15 21:04:48.427666+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/c0.1.1200.629a/s526x296/51679527_23843104493330291_1080936942192820224_n.png.jpg},1,0.999999569398505,,f,[],,"[{""entity"": ""Citizens United"" ""entity_type"": ""Organization""}]",https://www.facebook.com/corybooker/,https://www.facebook.com/corybooker/,,Cory 2020,,0.999969505985064,
hyperfeed_story_id_5cb4ef47aebc47d53287057,0,0,Better Together STL,"<p>""Through its fiscal analysis Better Together has demonstrated its plan ensures the St. Louis Metro City and all municipal districts will have the revenue needed to provide high-quality services while saving taxpayers up to $1 billion annually by 2032."" - letter to the editor providing additional explanation of our fiscal analysis on the impact of uniting city and county.</p>",https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p32x32/52475642_2807325499493518_4933953791356567552_n.png,2019-04-15 20:53:32.453257+00,2019-04-15 20:53:32.453257+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/c0.15.1200.629a/s526x296/57921834_23843396829380241_4635713714748653568_n.png.jpg},1,0.95459080370626,,f,[],,"[{""entity"": ""St. Louis Metro City"" ""entity_type"": ""Region""} {""entity"": ""Better Together"" ""entity_type"": ""Organization""}]",https://www.facebook.com/BetterTogetherSTL/,https://www.facebook.com/bettertogetherstl/,,Better Together STL,,0.344983799848706,
hyperfeed_story_id_5cb3b951656750443328999,2,1,Planned Parenthood Vermont Action Fund,<p>Roe v. Wade is at risk. We must protect and preserve our reproductive rights in Vermont no matter what happens in Washington.</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p50x50/16142961_10154262192646220_5524145085448307475_n.jpg,2019-04-14 22:51:11.573258+00,2019-04-15 01:41:40.709037+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/p180x540/57160331_23843328668060008_4818110225506631680_n.png.jpg},1,0.999876333899773,,f,[],,"[{""entity"": ""Roe v. Wade"" ""entity_type"": ""Law""} {""entity"": ""Washington"" ""entity_type"": ""Region""} {""entity"": ""Vermont"" ""entity_type"": ""Region""}]",https://www.facebook.com/ppvtaf/,https://www.facebook.com/ppvtaf/,,Planned Parenthood Vermont Action Fund,,0.33387285657227,
hyperfeed_story_id_5cb3babb3fbe99559370988,3,0,Jay Inslee,<p>Do you think climate change should be at the top of the ticket in 2020 Take this quick survey!</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p50x50/54419138_10157156172203466_3735169178559053824_n.jpg,2019-04-14 22:57:04.936534+00,2019-04-15 01:41:24.411209+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/p180x540/53916636_23843231368000394_165082423845978112_n.png.jpg},1,0.998043025663982,,f,[],,[],https://www.facebook.com/jayinslee/,https://www.facebook.com/jayinslee/,,INSLEE FOR AMERICA,,0.371849380433559,
hyperfeed_story_id_5cf083c81aaca8700763856,0,0,The Humane Society of the United States,<p>Hacking coughs and untreated illnesses. Days spent in wire cages. Every year one million puppies go from mass-breeding operations (puppy mills) to unscrupulous pet stores. Sick puppies go home with unsuspecting consumers breaking the hearts of families excited to welcome their new best friend.</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p200x200/31562165_10155678664322842_2936851977035915682_n.png,2019-05-31 01:31:12.347791+00,2019-05-31 01:31:12.347791+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t15.5256-10/60446747_415272482588335_5385370127069872128_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/v/t15.5256-10/60446747_415272482588335_5385370127069872128_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/y4/r/-PAXP-deijE.gifhttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/yt/r/wPe6V5iq-og.pnghttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/yt/r/wPe6V5iq-og.png},1,0.974383476284907,,f,[],,[],https://www.facebook.com/humanesociety/,https://www.facebook.com/humanesociety/,,The Humane Society of the United States,,0.999800840014359,
hyperfeed_story_id_5cb106bd949c75812525489,0,0,Mercy Corps,"<p><span class=""_5mfr""><span class=""_6qdm"">🚨</span></span>EMERGENCY: In Zimbabwe Cyclone Idai has wiped out entire villages and isolated communities leaving a death toll that is already in the hundreds. Mercy Corps is working tirelessly to deliver urgently needed resources like food water and hygiene kits to the hundreds of thousands of survivors but we need your support. Will you make an emergency donation to help Mercy Corps reach our goal of raising $20000 before midnight to provide urgent assistance to families in crisis in Zimbabwe and around the world</p>",https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p112x112/14192580_10153958614501275_7183847483458847691_n.png,2019-04-12 21:46:56.887728+00,2019-04-12 21:46:56.887728+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/c2.0.1197.627a/s526x296/55687266_6137463784551_1453785909311832064_n.png.jpg},1,0.990316648116466,,f,[],,"[{""entity"": ""Mercy Corps"" ""entity_type"": ""Organization""} {""entity"": ""Cyclone Idai"" ""entity_type"": ""Organization""} {""entity"": ""Zimbabwe"" ""entity_type"": ""Region""}]",https://www.facebook.com/mercycorps/,https://www.facebook.com/mercycorps/,,Mercy Corps,,0.867311596870422,
hyperfeed_story_id_5cb1078d244f46f00361711,0,0,Progressive Turnout Project,<p>BREAKING: The North Carolina U.S. House Special Election is a MASSIVE referendum on Trump’s Presidency [!!!] So we’re deploying our Democratic Voter Turnout team team to win this race and hand Trump another HUMILIATING defeat! But Republicans are SPRINTING to trash our Democrat and thwart our efforts. So we need 500 donations by tonight to survive!</p><p> 5X-MATCH your donation now to win in North Carolina &gt;&gt;</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p74x74/12803231_1692770960970987_315921414350175104_n.png,2019-04-12 21:48:08.26744+00,2019-04-12 21:48:08.26744+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/c1.0.1198.628a/s526x296/55361542_23843243173000590_4593103382859743232_n.png.jpg},1,0.999994864370961,,f,[],,"[{""entity"": ""U.S."" ""entity_type"": ""Region""} {""entity"": ""Trump’s Presidency"" ""entity_type"": ""Organization""} {""entity"": ""Democrats"" ""entity_type"": ""Group""} {""entity"": ""Donald Trump"" ""entity_type"": ""Person""} {""entity"": ""Republicans"" ""entity_type"": ""Group""} {""entity"": ""North Carolina"" ""entity_type"": ""Region""} {""entity"": ""HUMILIATING"" ""entity_type"": ""Organization""}]",https://www.facebook.com/turnoutpac/,https://www.facebook.com/turnoutpac/,,Progressive Turnout Project,,0.999999979132554,
hyperfeed_story_id_5cb11edc798483782775918,0,0,Green Business Bureau,<p>“We really cared about being greener in our business but no one knew until we shared our Green Business Bureau seal.”</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p50x50/15439875_10154850974032138_5803829693570350177_n.png,2019-04-12 23:27:36.212004+00,2019-04-12 23:27:36.212004+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/c0.53.480.480a/56983172_23843316207460261_2065536376366956544_n.png.jpg},1,0.798296154843929,,f,[],,"[{""entity"": ""Green Business Bureau"" ""entity_type"": ""Organization""}]",https://www.facebook.com/greenbusinessbureau/,https://www.facebook.com/greenbusinessbureau/,,Green Business Bureau,,0.324548016302288,
hyperfeed_story_id_5cb4f059f07049a73831655,0,0,United We Dream,<p>According to recent news reports Stephen Miller is leading the White House strategy to unleash ICE and CBP on our communities in order to deport immigrants and keep them out. We’re calling Miller out for what he is: a white nationalist plain and simple. If you agree with us sign our petition condemning him.</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/c33.70.890.890a/s112x112/13394008_1083826495011838_2815469091034348236_n.png,2019-04-15 20:58:08.874799+00,2019-04-15 20:58:08.874799+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q90/spS444/c1.0.1198.628a/s526x296/57538001_23843387369130151_1172384586995335168_n.png.jpg},1,0.999501257650196,,f,[],,"[{""entity"": ""White House"" ""entity_type"": ""Organization""} {""entity"": ""Stephen Miller"" ""entity_type"": ""Person""} {""entity"": ""CBP"" ""entity_type"": ""Organization""} {""entity"": ""ICE"" ""entity_type"": ""Organization""} {""entity"": ""Miller"" ""entity_type"": ""Organization""}]",https://www.facebook.com/UnitedWeDream/,https://www.facebook.com/unitedwedream/,,United We Dream Action,,0.403982110787183,
hyperfeed_story_id_5cb4f1b85be802331938605,0,0,The Brookings Institution,<p>An aging population and increased mortality rate is driving a growth slowdown in America. Immigration could be the key to future economic vitality:</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p130x130/1477344_10152268988702708_889340808_n.png,2019-04-15 21:04:06.903527+00,2019-04-15 21:04:06.903527+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t45.1600-4/cp0/q75/spS444/c0.37.525.275a/p235x350/57373768_23843363654540127_7850161586621644800_n.jpg},1,0.960020663419284,,f,[],,"[{""entity"": ""America"" ""entity_type"": ""Region""}]",https://www.facebook.com/brookings/,https://www.facebook.com/brookings/,,The Brookings Institution,,0.4346858933568,
hyperfeed_story_id_5cb4f1f8de3c62a53703316,0,0,USA for UNHCR,<p>It’s the worst humanitarian crisis in the world and it doesn’t get enough attention…</p>,https://pp-facebook-ads.s3.amazonaws.com/v/t1.0-1/p50x50/15439840_10154553049526311_4357797733933282956_n.jpg,2019-04-15 21:05:07.10605+00,2019-04-15 21:05:07.10605+00,en-US,{https://pp-facebook-ads.s3.amazonaws.com/v/t15.13418-10/46178482_1803756676413138_6939546696447688704_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/v/t15.13418-10/46178482_1803756676413138_6939546696447688704_n.jpghttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/y4/r/-PAXP-deijE.gifhttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/yU/r/u7XTTygYX3C.pnghttps://pp-facebook-ads.s3.amazonaws.com/rsrc.php/v3/yU/r/u7XTTygYX3C.png},1,0.937287623691144,,f,[],,[],https://www.facebook.com/UNREFUGEES/,https://www.facebook.com/unrefugees/,,USA for UNHCR,,1.00000015724072,
